κ,h,K_gain,shock,variable,period,value
0.06,0.0,0.0,ε_rn,i,0,10.48250251912797
0.06,0.0,0.0,ε_rn,i,1,18.259159484168077
0.06,0.0,0.0,ε_rn,i,2,21.264471960981734
0.06,0.0,0.0,ε_rn,i,3,20.793238751728477
0.06,0.0,0.0,ε_rn,i,4,18.518508288516927
0.06,0.0,0.0,ε_rn,i,5,15.63605386582348
0.06,0.0,0.0,ε_rn,i,6,12.807514704739804
0.06,0.0,0.0,ε_rn,i,7,10.320328319493777
0.06,0.0,0.0,ε_rn,i,8,8.25097976095443
0.06,0.0,0.0,ε_rn,i,9,6.577076701358303
0.06,0.0,0.0,ε_rn,i,10,5.240663882121184
0.06,0.0,0.0,ε_rn,i,11,4.178729522941666
0.06,0.0,0.0,ε_rn,i,12,3.3352766810805234
0.06,0.0,0.0,ε_rn,i,13,2.6644410649413968
0.06,0.0,0.0,ε_rn,i,14,2.1299348333649744
0.06,0.0,0.0,ε_rn,i,15,1.7033767133929667
0.06,0.0,0.0,ε_rn,π,0,0.9317780017002633
0.06,0.0,0.0,ε_rn,π,1,0.9707917974025297
0.06,0.0,0.0,ε_rn,π,2,0.7540498064056937
0.06,0.0,0.0,ε_rn,π,3,0.5251651892481107
0.06,0.0,0.0,ε_rn,π,4,0.35228810331617605
0.06,0.0,0.0,ε_rn,π,5,0.23760871678769968
0.06,0.0,0.0,ε_rn,π,6,0.16553573321452109
0.06,0.0,0.0,ε_rn,π,7,0.12045049121563633
0.06,0.0,0.0,ε_rn,π,8,0.09126666109411391
0.06,0.0,0.0,ε_rn,π,9,0.07123474388357323
0.06,0.0,0.0,ε_rn,π,10,0.05659646143736615
0.06,0.0,0.0,ε_rn,π,11,0.04535687159616304
0.06,0.0,0.0,ε_rn,π,12,0.03645920133523167
0.06,0.0,0.0,ε_rn,π,13,0.02931087894978034
0.06,0.0,0.0,ε_rn,π,14,0.023540096702755146
0.06,0.0,0.0,ε_rn,π,15,0.0188819848922208
0.06,0.0,0.0,ε_rn,ygap,0,1.203802210460951
0.06,0.0,0.0,ε_rn,ygap,1,0.6659292863015981
0.06,0.0,0.0,ε_rn,ygap,2,0.34000842954185506
0.06,0.0,0.0,ε_rn,ygap,3,0.16536185183964439
0.06,0.0,0.0,ε_rn,ygap,4,0.08042221352788495
0.06,0.0,0.0,ε_rn,ygap,5,0.042365117216129136
0.06,0.0,0.0,ε_rn,ygap,6,0.026269722570733588
0.06,0.0,0.0,ε_rn,ygap,7,0.019374646814222404
0.06,0.0,0.0,ε_rn,ygap,8,0.01587518473563158
0.06,0.0,0.0,ε_rn,ygap,9,0.013467432374282452
0.06,0.0,0.0,ε_rn,ygap,10,0.011401992828523857
0.06,0.0,0.0,ε_rn,ygap,11,0.00951974079069484
0.06,0.0,0.0,ε_rn,ygap,12,0.007832497318303495
0.06,0.0,0.0,ε_rn,ygap,13,0.006369753697263592
0.06,0.0,0.0,ε_rn,ygap,14,0.005138907615468724
0.06,0.0,0.0,ε_rn,ygap,15,0.004125573681647223
0.06,0.0,0.0,ε_ν,i,0,0.0
0.06,0.0,0.0,ε_ν,i,1,0.0
0.06,0.0,0.0,ε_ν,i,2,0.0
0.06,0.0,0.0,ε_ν,i,3,0.0
0.06,0.0,0.0,ε_ν,i,4,0.0
0.06,0.0,0.0,ε_ν,i,5,0.0
0.06,0.0,0.0,ε_ν,i,6,0.0
0.06,0.0,0.0,ε_ν,i,7,0.0
0.06,0.0,0.0,ε_ν,i,8,0.0
0.06,0.0,0.0,ε_ν,i,9,0.0
0.06,0.0,0.0,ε_ν,i,10,0.0
0.06,0.0,0.0,ε_ν,i,11,0.0
0.06,0.0,0.0,ε_ν,i,12,0.0
0.06,0.0,0.0,ε_ν,i,13,0.0
0.06,0.0,0.0,ε_ν,i,14,0.0
0.06,0.0,0.0,ε_ν,i,15,0.0
0.06,0.0,0.0,ε_ν,π,0,0.0
0.06,0.0,0.0,ε_ν,π,1,0.0
0.06,0.0,0.0,ε_ν,π,2,0.0
0.06,0.0,0.0,ε_ν,π,3,0.0
0.06,0.0,0.0,ε_ν,π,4,0.0
0.06,0.0,0.0,ε_ν,π,5,0.0
0.06,0.0,0.0,ε_ν,π,6,0.0
0.06,0.0,0.0,ε_ν,π,7,0.0
0.06,0.0,0.0,ε_ν,π,8,0.0
0.06,0.0,0.0,ε_ν,π,9,0.0
0.06,0.0,0.0,ε_ν,π,10,0.0
0.06,0.0,0.0,ε_ν,π,11,0.0
0.06,0.0,0.0,ε_ν,π,12,0.0
0.06,0.0,0.0,ε_ν,π,13,0.0
0.06,0.0,0.0,ε_ν,π,14,0.0
0.06,0.0,0.0,ε_ν,π,15,0.0
0.06,0.0,0.0,ε_ν,ygap,0,0.0
0.06,0.0,0.0,ε_ν,ygap,1,0.0
0.06,0.0,0.0,ε_ν,ygap,2,0.0
0.06,0.0,0.0,ε_ν,ygap,3,0.0
0.06,0.0,0.0,ε_ν,ygap,4,0.0
0.06,0.0,0.0,ε_ν,ygap,5,0.0
0.06,0.0,0.0,ε_ν,ygap,6,0.0
0.06,0.0,0.0,ε_ν,ygap,7,0.0
0.06,0.0,0.0,ε_ν,ygap,8,0.0
0.06,0.0,0.0,ε_ν,ygap,9,0.0
0.06,0.0,0.0,ε_ν,ygap,10,0.0
0.06,0.0,0.0,ε_ν,ygap,11,0.0
0.06,0.0,0.0,ε_ν,ygap,12,0.0
0.06,0.0,0.0,ε_ν,ygap,13,0.0
0.06,0.0,0.0,ε_ν,ygap,14,0.0
0.06,0.0,0.0,ε_ν,ygap,15,0.0
0.06,0.0,0.0,ε_att,i,0,0.0
0.06,0.0,0.0,ε_att,i,1,0.0
0.06,0.0,0.0,ε_att,i,2,0.0
0.06,0.0,0.0,ε_att,i,3,0.0
0.06,0.0,0.0,ε_att,i,4,0.0
0.06,0.0,0.0,ε_att,i,5,0.0
0.06,0.0,0.0,ε_att,i,6,0.0
0.06,0.0,0.0,ε_att,i,7,0.0
0.06,0.0,0.0,ε_att,i,8,0.0
0.06,0.0,0.0,ε_att,i,9,0.0
0.06,0.0,0.0,ε_att,i,10,0.0
0.06,0.0,0.0,ε_att,i,11,0.0
0.06,0.0,0.0,ε_att,i,12,0.0
0.06,0.0,0.0,ε_att,i,13,0.0
0.06,0.0,0.0,ε_att,i,14,0.0
0.06,0.0,0.0,ε_att,i,15,0.0
0.06,0.0,0.0,ε_att,π,0,0.0
0.06,0.0,0.0,ε_att,π,1,0.0
0.06,0.0,0.0,ε_att,π,2,0.0
0.06,0.0,0.0,ε_att,π,3,0.0
0.06,0.0,0.0,ε_att,π,4,0.0
0.06,0.0,0.0,ε_att,π,5,0.0
0.06,0.0,0.0,ε_att,π,6,0.0
0.06,0.0,0.0,ε_att,π,7,0.0
0.06,0.0,0.0,ε_att,π,8,0.0
0.06,0.0,0.0,ε_att,π,9,0.0
0.06,0.0,0.0,ε_att,π,10,0.0
0.06,0.0,0.0,ε_att,π,11,0.0
0.06,0.0,0.0,ε_att,π,12,0.0
0.06,0.0,0.0,ε_att,π,13,0.0
0.06,0.0,0.0,ε_att,π,14,0.0
0.06,0.0,0.0,ε_att,π,15,0.0
0.06,0.0,0.0,ε_att,ygap,0,0.0
0.06,0.0,0.0,ε_att,ygap,1,0.0
0.06,0.0,0.0,ε_att,ygap,2,0.0
0.06,0.0,0.0,ε_att,ygap,3,0.0
0.06,0.0,0.0,ε_att,ygap,4,0.0
0.06,0.0,0.0,ε_att,ygap,5,0.0
0.06,0.0,0.0,ε_att,ygap,6,0.0
0.06,0.0,0.0,ε_att,ygap,7,0.0
0.06,0.0,0.0,ε_att,ygap,8,0.0
0.06,0.0,0.0,ε_att,ygap,9,0.0
0.06,0.0,0.0,ε_att,ygap,10,0.0
0.06,0.0,0.0,ε_att,ygap,11,0.0
0.06,0.0,0.0,ε_att,ygap,12,0.0
0.06,0.0,0.0,ε_att,ygap,13,0.0
0.06,0.0,0.0,ε_att,ygap,14,0.0
0.06,0.0,0.0,ε_att,ygap,15,0.0
0.06,0.0,0.1,ε_rn,i,0,9.604920804274666
0.06,0.0,0.1,ε_rn,i,1,16.740057174796302
0.06,0.0,0.1,ε_rn,i,2,19.488755773840516
0.06,0.0,0.1,ε_rn,i,3,19.038316883697266
0.06,0.0,0.1,ε_rn,i,4,16.93330016774364
0.06,0.0,0.1,ε_rn,i,5,14.278164233837309
0.06,0.0,0.1,ε_rn,i,6,11.68180254677719
0.06,0.0,0.1,ε_rn,i,7,9.405954451703263
0.06,0.0,0.1,ε_rn,i,8,7.5175123758584235
0.06,0.0,0.1,ε_rn,i,9,5.993015493141192
0.06,0.0,0.1,ε_rn,i,10,4.777375913366077
0.06,0.0,0.1,ε_rn,i,11,3.8118496571764
0.06,0.0,0.1,ε_rn,i,12,3.044829137581716
0.06,0.0,0.1,ε_rn,i,13,2.434396690325645
0.06,0.0,0.1,ε_rn,i,14,1.9475833327056453
0.06,0.0,0.1,ε_rn,i,15,1.558697780004922
0.06,0.0,0.1,ε_rn,π,0,0.7179544040364445
0.06,0.0,0.1,ε_rn,π,1,0.7150101807212705
0.06,0.0,0.1,ε_rn,π,2,0.5229042630349611
0.06,0.0,0.1,ε_rn,π,3,0.3369759316891236
0.06,0.0,0.1,ε_rn,π,4,0.20590925374680258
0.06,0.0,0.1,ε_rn,π,5,0.1257701640816825
0.06,0.0,0.1,ε_rn,π,6,0.0803520778575096
0.06,0.0,0.1,ε_rn,π,7,0.055276994665824614
0.06,0.0,0.1,ε_rn,π,8,0.041023196185223904
0.06,0.0,0.1,ε_rn,π,9,0.03219254416143373
0.06,0.0,0.1,ε_rn,π,10,0.026049687267125303
0.06,0.0,0.1,ε_rn,π,11,0.021330900030695547
0.06,0.0,0.1,ε_rn,π,12,0.01749185067951944
0.06,0.0,0.1,ε_rn,π,13,0.014300326841791151
0.06,0.0,0.1,ε_rn,π,14,0.011642456348256265
0.06,0.0,0.1,ε_rn,π,15,0.009442510875024193
0.06,0.0,0.1,ε_rn,ygap,0,1.0186225059097744
0.06,0.0,0.1,ε_rn,ygap,1,0.5359191687722034
0.06,0.0,0.1,ε_rn,ygap,2,0.2525936747614261
0.06,0.0,0.1,ε_rn,ygap,3,0.10723724957755029
0.06,0.0,0.1,ε_rn,ygap,4,0.04134310497782217
0.06,0.0,0.1,ε_rn,ygap,5,0.015393565634837767
0.06,0.0,0.1,ε_rn,ygap,6,0.007015188508833344
0.06,0.0,0.1,ε_rn,ygap,7,0.005156365310149008
0.06,0.0,0.1,ε_rn,ygap,8,0.0050740307808755285
0.06,0.0,0.1,ε_rn,ygap,9,0.005092154499101211
0.06,0.0,0.1,ε_rn,ygap,10,0.0048227964137317015
0.06,0.0,0.1,ε_rn,ygap,11,0.004314157579718503
0.06,0.0,0.1,ε_rn,ygap,12,0.0036999531136025646
0.06,0.0,0.1,ε_rn,ygap,13,0.0030853720845718646
