κ,h,K_gain,L_no_attack,L_attack
0.06,0.0,0.0,3.922766657298383,3.922766657298383
0.06,0.0,0.1,2.2116032831842207,3.4239607060379056
0.06,0.0,0.2,1.7876780207826826,3.8709410145189445
0.06,0.0,0.3,1.6213171816891108,4.168259131798725
0.06,0.0,0.4,1.5409136335963547,4.358978017527595
0.06,0.0,0.5,1.4972316351456438,4.488213200219276
0.06,0.0,0.6,1.4717169368848364,4.580580494130009
0.06,0.0,0.7,1.456110668223633,4.649543546574953
0.06,0.0,0.8,1.446296452588796,4.702867940662868
0.06,0.0,0.9,1.4400472223262086,4.74528339905996
0.06,0.0,1.0,1.4360808284703541,4.779812547746543
0.06,0.3,0.0,3.76856961079059,3.76856961079059
0.06,0.3,0.1,2.1476273115502957,3.3751286980677224
0.06,0.3,0.2,1.738975388303577,3.852846831006116
0.06,0.3,0.3,1.57853606506029,4.16264178426705
0.06,0.3,0.4,1.5014181979533383,4.3583451506710915
0.06,0.3,0.5,1.459921735683299,4.4891791009200395
0.06,0.3,0.6,1.4360103602795666,4.581534369898591
0.06,0.3,0.7,1.4216467336244458,4.649703970446432
0.06,0.3,0.8,1.4128263950762365,4.701863597104738
0.06,0.3,0.9,1.4073862538788566,4.742953675863615
0.06,0.3,1.0,1.404084259329554,4.776107260849132
0.06,0.5,0.0,3.649712046617579,3.649712046617579
0.06,0.5,0.1,2.1199389271810807,3.3614188764192354
0.06,0.5,0.2,1.724038790630592,3.8670937625153776
0.06,0.5,0.3,1.5668543926537963,4.186497161883725
0.06,0.5,0.4,1.490637420877155,4.384552201554311
0.06,0.5,0.5,1.4492331481526624,4.514665941237741
0.06,0.5,0.6,1.425082453790781,4.605001426753683
0.06,0.5,0.7,1.4103302451008621,4.670650764454555
0.06,0.5,0.8,1.401052432767097,4.720163099731641
0.06,0.5,0.9,1.3951252263220528,4.758654572543647
0.06,0.5,1.0,1.391327267742378,4.789338000713991
0.06,0.7,0.0,3.4124160623884903,3.4124160623884903
0.06,0.7,0.1,2.0604115136733827,3.3113492728071363
0.06,0.7,0.2,1.6941718698500132,3.860801821135021
0.06,0.7,0.3,1.5450463291547143,4.192518422567132
0.06,0.7,0.4,1.4709964879113764,4.3914564840408294
0.06,0.7,0.5,1.4296539757081024,4.518063426892649
0.06,0.7,0.6,1.4047167505115188,4.603317796176567
0.06,0.7,0.7,1.3888306686043579,4.663499885114093
0.06,0.7,0.8,1.3782945794735875,4.707665731207572
0.06,0.7,0.9,1.371090379402301,4.741137470483514
0.06,0.7,1.0,1.366048013647024,4.767196999379788
0.06,0.9,0.0,2.5867100089936432,2.5867100089936432
0.06,0.9,0.1,1.7280692179473067,2.901019624063928
0.06,0.9,0.2,1.4722684708453526,3.5108590320272217
0.06,0.9,0.3,1.3611100842099628,3.8467369465577437
0.06,0.9,0.4,1.3023664090203964,4.034833373571385
0.06,0.9,0.5,1.2673521010429887,4.146890669342206
0.06,0.9,0.6,1.2446968584500935,4.217526729373186
0.06,0.9,0.7,1.229134598452593,4.264183538006399
0.06,0.9,0.8,1.2179450168303008,4.296203854659262
0.06,0.9,0.9,1.2096039418454962,4.318883249842826
0.06,0.9,1.0,1.2032017870130851,4.335373704258372
0.1,0.0,0.0,4.700546823608061,4.700546823608061
