ρ_p,K_gain,L_no_attack,L_attack
0.5,0.0,5.094323356218399,5.094323356218399
0.5,0.025,4.916506139679431,4.944685028442442
0.5,0.05,4.757134691645101,4.861362482096536
0.5,0.075,4.613689271431832,4.831132347430648
0.5,0.1,4.484067831936704,4.843409161402303
0.5,0.125,4.366505770684953,4.889681206783401
0.5,0.15,4.259513029277218,4.963076772550091
0.5,0.175,4.161824406894654,5.0580283693845836
0.5,0.2,4.072360023482207,5.1700110814905
0.5,0.225,3.990193640885607,5.29533743476855
0.5,0.25,3.9145271134846076,5.430995644449464
0.5,0.275,3.8446696541769616,5.574521374706659
0.5,0.3,3.7800209089264953,5.723895546147645
0.5,0.325,3.7200570629527867,5.877462507207739
0.5,0.35,3.664319374878387,6.033864213471261
0.5,0.375,3.612404666670756,6.191987056448468
0.5,0.4,3.563957397768116,6.35091873749123
0.5,0.425,3.5186630291662833,6.509913156252426
0.5,0.45,3.4762424431854266,6.668361722149194
0.5,0.475,3.4364472313470973,6.825769835191923
0.5,0.5,3.399055699406142,6.981737544008233
0.5,0.525,3.3638694674428606,7.135943592258883
0.5,0.55,3.3307105657900764,7.2881322236083985
0.5,0.575,3.299418945786594,7.438102240260094
0.5,0.6,3.2698503389297553,7.585697908563355
0.5,0.625,3.2418744097256935,7.73080138324858
0.5,0.65,3.2153731570101574,7.873326383948574
0.5,0.675,3.190239526199225,8.013212907277806
0.5,0.7,3.1663762011933216,8.150422797529478
0.5,0.725,3.143694549781793,8.284936031075782
0.5,0.75,3.1221137006047788,8.416747595428445
0.5,0.775,3.101559733198079,8.545864864883715
0.5,0.8,3.081964965517742,8.672305391728159
0.5,0.825,3.063267325725084,8.796095045891787
0.5,0.85,3.045409796997928,8.917266447315356
0.5,0.875,3.0283399257940324,9.03585764463841
0.5,0.9,3.0120093853839536,9.151911001499649
0.5,0.925,2.9963735876409223,9.265472258082248
0.5,0.95,2.981391337062777,9.376589740783272
0.5,0.975,2.9670245218351994,9.485313697234227
0.5,1.0,2.9532378374546138,9.591695737518403
0.7,0.0,5.094323356218399,5.094323356218399
0.7,0.025,4.808710179366661,4.883190787403214
0.7,0.05,4.573697732314503,4.83085208964176
0.7,0.075,4.377916617209567,4.881683820789708
0.7,0.1,4.213024160888219,4.998874442890443
0.7,0.125,4.072788716240216,5.157813170952317
0.7,0.15,3.952480249639609,5.341923816074172
0.7,0.175,3.848456090326088,5.539992502395889
0.7,0.2,3.7578738497711086,5.744425861793674
0.7,0.225,3.6784889250197605,5.950099122663273
0.7,0.25,3.608509332020942,6.153584292366793
0.7,0.275,3.5464900771231056,6.352626924556185
0.7,0.3,3.4912552367834047,6.5457876974696365
0.7,0.325,3.441839744831758,6.732194634360014
0.7,0.35,3.397445390445137,6.911370452371941
0.7,0.375,3.3574071945141104,7.083111456850089
0.7,0.4,3.321167455895756,7.247402134252641
0.7,0.425,3.288255528815348,7.404354678205784
0.7,0.45,3.2582719270967555,7.5541660611176695
0.7,0.475,3.230875726642664,7.697087534519884
0.7,0.5,3.205774504901979,7.833402983775327
0.7,0.525,3.182716248373132,7.963413620792223
0.7,0.55,3.161482798992188,8.087427230650514
0.7,0.575,3.1418845128906727,8.205750699142566
0.7,0.6,3.123755881060715,8.3186849077349
0.7,0.625,3.106951918317272,8.426521337161857
0.7,0.65,3.0913451697994776,8.529539902512644
0.7,0.675,3.0768232168081315,8.628007673013075
0.7,0.7,3.063286588692571,8.722178223743926
0.7,0.725,3.0506470067067215,8.812291434728545
0.7,0.75,3.0388259006574403,8.898573602488073
0.7,0.775,3.0277531508071234,8.981237765476214
0.7,0.8,3.01736601663894,9.060484171448799
0.7,0.825,3.007608221320173,9.136500834419687
0.7,0.85,2.998429166442524,9.209464143300135
0.7,0.875,2.9897832562078595,9.27953949498352
0.7,0.9,2.981629313911686,9.34688193251247
0.7,0.925,2.973930076549525,9.41163677478006
0.7,0.95,2.9666517557811045,9.473940228503858
0.7,0.975,2.95976365544922,9.533919976365786
0.7,1.0,2.9532378374546138,9.591695737518403
0.85,0.0,5.094323356218399,5.094323356218399
0.85,0.025,4.621680586598335,4.856905395301491
0.85,0.05,4.2820788809161625,5.0024350108644535
0.85,0.075,4.029868375487329,5.303356567452224
0.85,0.1,3.8375893215639127,5.65542432603883
0.85,0.125,3.687848795000577,6.010750525081543
