regime,K_gain,period,i_bp,pi_pp_ann
Naive (K=1.00),1.0,0,4.7864783356546665,-0.605912186067867
Naive (K=1.00),1.0,1,1.3577825402683366,-0.8329113628597817
Naive (K=1.00),1.0,2,-3.3745737868430754,-0.8400769770687111
Naive (K=1.00),1.0,3,-6.695211391814536,-0.7398359575570536
Naive (K=1.00),1.0,4,-8.098180162578018,-0.6037928597845854
Naive (K=1.00),1.0,5,-8.004618750599663,-0.47137845982135024
Naive (K=1.00),1.0,6,-7.052141620355087,-0.3598143183903168
Naive (K=1.00),1.0,7,-5.775707972023503,-0.273074798750333
Naive (K=1.00),1.0,8,-4.516923808469432,-0.2085903071926539
Naive (K=1.00),1.0,9,-3.4428082476149986,-0.1615189366872392
Naive (K=1.00),1.0,10,-2.6009149164285215,-0.1270328088619122
Naive (K=1.00),1.0,11,-1.9735871452839098,-0.10125833295116662
Naive (K=1.00),1.0,12,-1.5173658948606237,-0.0814487376339282
Naive (K=1.00),1.0,13,-1.1860902729425373,-0.06580641847183862
Naive (K=1.00),1.0,14,-0.9414252708554205,-0.05320706123400577
Naive (K=1.00),1.0,15,-0.7555821074028394,-0.04294967642064372
Filter (K=0.50),0.5,0,-0.20278833745925595,-0.5584866331550719
Filter (K=0.50),0.5,1,-2.256379478909721,-0.7747612408755974
Filter (K=0.50),0.5,2,-4.866451976712751,-0.7921057296838573
Filter (K=0.50),0.5,3,-6.845207968974681,-0.7091139929077452
Filter (K=0.50),0.5,4,-7.728478479477569,-0.5890442447617762
Filter (K=0.50),0.5,5,-7.6048392315054905,-0.4680217011582437
Filter (K=0.50),0.5,6,-6.810601816273233,-0.3630913597182756
Filter (K=0.50),0.5,7,-5.705764309305985,-0.27938863679135617
Filter (K=0.50),0.5,8,-4.563638760994244,-0.21571463823842038
Filter (K=0.50),0.5,9,-3.5444562824049295,-0.16830567751228648
Filter (K=0.50),0.5,10,-2.7135541243586028,-0.13301465194504794
Filter (K=0.50),0.5,11,-2.0742484166721966,-0.10632724373270573
Filter (K=0.50),0.5,12,-1.5984621709276254,-0.08565328624419084
Filter (K=0.50),0.5,13,-1.2484274256259498,-0.069247031500866
Filter (K=0.50),0.5,14,-0.988939538350758,-0.05599213245053827
Filter (K=0.50),0.5,15,-0.7923917238416675,-0.04518163721897747
Heavy filter (K=0.20),0.2,0,-2.3027143986055063,-0.43678007266229546
Heavy filter (K=0.20),0.2,1,-4.872159368549807,-0.6125951053778098
Heavy filter (K=0.20),0.2,2,-6.759942414935283,-0.6387544913084497
Heavy filter (K=0.20),0.2,3,-7.694063182123186,-0.5884073244097676
Heavy filter (K=0.20),0.2,4,-7.771244087815877,-0.5070717779641204
Heavy filter (K=0.20),0.2,5,-7.240420780016686,-0.420626237557289
Heavy filter (K=0.20),0.2,6,-6.368963492589266,-0.34181326449673277
Heavy filter (K=0.20),0.2,7,-5.375256608396044,-0.27533084828126636
Heavy filter (K=0.20),0.2,8,-4.407006624423699,-0.22151104811979627
Heavy filter (K=0.20),0.2,9,-3.5458971753295585,-0.17873097685146674
Heavy filter (K=0.20),0.2,10,-2.8237380961128498,-0.1448184798774653
Heavy filter (K=0.20),0.2,11,-2.2406025268615357,-0.11774996306415196
Heavy filter (K=0.20),0.2,12,-1.780050045441584,-0.09590745463814064
Heavy filter (K=0.20),0.2,13,-1.419770519411586,-0.07809913536457942
Heavy filter (K=0.20),0.2,14,-1.1378587034472487,-0.06347939565686471
Heavy filter (K=0.20),0.2,15,-0.9157535737236253,-0.05144675613869326
