K_gain,L_no_attack,L_attack
0.05,2.484317308520303,3.032988257320647
0.1,2.0604115136733827,3.3113492728071363
0.15,1.8315725077384533,3.6156062130212723
0.2,1.6941718698500132,3.860801821135021
0.25,1.6054439636484703,4.048710710786424
0.3,1.5450463291547143,4.192518422567132
0.35,1.5022622463800943,4.303885666952559
0.4,1.4709964879113764,4.3914564840408294
0.45,1.4475699415685725,4.46139050223484
0.5,1.4296539757081024,4.518063426892649
0.55,1.4157165493318096,4.564612526915846
0.6,1.4047167505115188,4.603317796176567
0.65,1.3959278790076053,4.635860776799523
0.7,1.3888306686043579,4.663499885114093
0.75,1.3830465377926324,4.687190111568066
0.8,1.3782945794735875,4.707665731207572
0.85,1.3743631056218435,4.725498234837296
0.9,1.371090379402301,4.741137470483514
0.95,1.3683512973293295,4.754941260180653
1.0,1.366048013647024,4.767196999379788
