scenario,period,variable,shock,value
Toy (no frictions),0,attack,ε_rn,0.0
Toy (no frictions),1,attack,ε_rn,0.0
Toy (no frictions),2,attack,ε_rn,0.0
Toy (no frictions),3,attack,ε_rn,0.0
Toy (no frictions),4,attack,ε_rn,0.0
Toy (no frictions),5,attack,ε_rn,0.0
Toy (no frictions),6,attack,ε_rn,0.0
Toy (no frictions),7,attack,ε_rn,0.0
Toy (no frictions),8,attack,ε_rn,0.0
Toy (no frictions),9,attack,ε_rn,0.0
Toy (no frictions),10,attack,ε_rn,0.0
Toy (no frictions),11,attack,ε_rn,0.0
Toy (no frictions),12,attack,ε_rn,0.0
Toy (no frictions),13,attack,ε_rn,0.0
Toy (no frictions),14,attack,ε_rn,0.0
Toy (no frictions),15,attack,ε_rn,0.0
Toy (no frictions),0,i,ε_rn,0.41364605543710026
Toy (no frictions),1,i,ε_rn,0.33091684434968044
Toy (no frictions),2,i,ε_rn,0.26473347547974446
Toy (no frictions),3,i,ε_rn,0.21178678038379567
Toy (no frictions),4,i,ε_rn,0.1694294243070366
Toy (no frictions),5,i,ε_rn,0.13554353944562933
Toy (no frictions),6,i,ε_rn,0.10843483155650353
Toy (no frictions),7,i,ε_rn,0.08674786524520287
Toy (no frictions),8,i,ε_rn,0.06939829219616232
Toy (no frictions),9,i,ε_rn,0.05551863375692989
Toy (no frictions),10,i,ε_rn,0.04441490700554393
Toy (no frictions),11,i,ε_rn,0.03553192560443516
Toy (no frictions),12,i,ε_rn,0.028425540483548145
Toy (no frictions),13,i,ε_rn,0.022740432386838528
Toy (no frictions),14,i,ε_rn,0.01819234590947083
Toy (no frictions),15,i,ε_rn,0.014553876727576673
Toy (no frictions),0,rn,ε_rn,0.4000000000000001
Toy (no frictions),1,rn,ε_rn,0.32000000000000023
Toy (no frictions),2,rn,ε_rn,0.2560000000000003
Toy (no frictions),3,rn,ε_rn,0.20480000000000032
Toy (no frictions),4,rn,ε_rn,0.16384000000000032
Toy (no frictions),5,rn,ε_rn,0.13107200000000033
Toy (no frictions),6,rn,ε_rn,0.10485760000000031
Toy (no frictions),7,rn,ε_rn,0.0838860800000003
Toy (no frictions),8,rn,ε_rn,0.06710886400000027
Toy (no frictions),9,rn,ε_rn,0.05368709120000024
Toy (no frictions),10,rn,ε_rn,0.04294967296000021
Toy (no frictions),11,rn,ε_rn,0.03435973836800019
Toy (no frictions),12,rn,ε_rn,0.027487790694400164
Toy (no frictions),13,rn,ε_rn,0.021990232555520142
Toy (no frictions),14,rn,ε_rn,0.017592186044416123
Toy (no frictions),15,rn,ε_rn,0.014073748835532906
Toy (no frictions),0,ygap,ε_rn,0.44349680170575706
Toy (no frictions),1,ygap,ε_rn,0.35479744136460556
Toy (no frictions),2,ygap,ε_rn,0.28383795309168464
Toy (no frictions),3,ygap,ε_rn,0.22707036247334778
Toy (no frictions),4,ygap,ε_rn,0.1816562899786783
Toy (no frictions),5,ygap,ε_rn,0.1453250319829427
Toy (no frictions),6,ygap,ε_rn,0.11626002558635422
Toy (no frictions),7,ygap,ε_rn,0.09300802046908342
Toy (no frictions),8,ygap,ε_rn,0.07440641637526678
Toy (no frictions),9,ygap,ε_rn,0.05952513310021345
Toy (no frictions),10,ygap,ε_rn,0.04762010648017078
Toy (no frictions),11,ygap,ε_rn,0.038096085184136645
Toy (no frictions),12,ygap,ε_rn,0.030476868147309332
Toy (no frictions),13,ygap,ε_rn,0.024381494517847477
Toy (no frictions),14,ygap,ε_rn,0.019505195614277993
Toy (no frictions),15,ygap,ε_rn,0.015604156491422402
Toy (no frictions),0,ν,ε_rn,0.0
Toy (no frictions),1,ν,ε_rn,0.0
Toy (no frictions),2,ν,ε_rn,0.0
Toy (no frictions),3,ν,ε_rn,0.0
Toy (no frictions),4,ν,ε_rn,0.0
Toy (no frictions),5,ν,ε_rn,0.0
Toy (no frictions),6,ν,ε_rn,0.0
Toy (no frictions),7,ν,ε_rn,0.0
Toy (no frictions),8,ν,ε_rn,0.0
Toy (no frictions),9,ν,ε_rn,0.0
Toy (no frictions),10,ν,ε_rn,0.0
Toy (no frictions),11,ν,ε_rn,0.0
Toy (no frictions),12,ν,ε_rn,0.0
Toy (no frictions),13,ν,ε_rn,0.0
Toy (no frictions),14,ν,ε_rn,0.0
Toy (no frictions),15,ν,ε_rn,0.0
Toy (no frictions),0,π,ε_rn,0.12793176972281445
Toy (no frictions),1,π,ε_rn,0.10234541577825158
Toy (no frictions),2,π,ε_rn,0.08187633262260131
Toy (no frictions),3,π,ε_rn,0.06550106609808107
Toy (no frictions),4,π,ε_rn,0.05240085287846488
Toy (no frictions),5,π,ε_rn,0.04192068230277192
Toy (no frictions),6,π,ε_rn,0.033536545842217554
Toy (no frictions),7,π,ε_rn,0.026829236673774057
Toy (no frictions),8,π,ε_rn,0.021463389339019256
Toy (no frictions),9,π,ε_rn,0.017170711471215416
Toy (no frictions),10,π,ε_rn,0.013736569176972337
Toy (no frictions),11,π,ε_rn,0.010989255341577875
Toy (no frictions),12,π,ε_rn,0.008791404273262304
Toy (no frictions),13,π,ε_rn,0.007033123418609848
Toy (no frictions),14,π,ε_rn,0.005626498734887881
Toy (no frictions),15,π,ε_rn,0.004501198987910307
Toy (no frictions),0,attack,ε_ν,0.0
Toy (no frictions),1,attack,ε_ν,0.0
Toy (no frictions),2,attack,ε_ν,0.0
Toy (no frictions),3,attack,ε_ν,0.0
Toy (no frictions),4,attack,ε_ν,0.0
Toy (no frictions),5,attack,ε_ν,0.0
Toy (no frictions),6,attack,ε_ν,0.0
Toy (no frictions),7,attack,ε_ν,0.0
Toy (no frictions),8,attack,ε_ν,0.0
Toy (no frictions),9,attack,ε_ν,0.0
Toy (no frictions),10,attack,ε_ν,0.0
Toy (no frictions),11,attack,ε_ν,0.0
Toy (no frictions),12,attack,ε_ν,0.0
Toy (no frictions),13,attack,ε_ν,0.0
Toy (no frictions),14,attack,ε_ν,0.0
Toy (no frictions),15,attack,ε_ν,0.0
Toy (no frictions),0,i,ε_ν,0.045207439198855545
Toy (no frictions),1,i,ε_ν,0.02712446351931331
Toy (no frictions),2,i,ε_ν,0.016274678111587976
Toy (no frictions),3,i,ε_ν,0.009764806866952778
Toy (no frictions),4,i,ε_ν,0.005858884120171661
Toy (no frictions),5,i,ε_ν,0.003515330472102992
Toy (no frictions),6,i,ε_ν,0.0021091982832617913
Toy (no frictions),7,i,ε_ν,0.0012655189699570717
Toy (no frictions),8,i,ε_ν,0.0007593113819742406
Toy (no frictions),9,i,ε_ν,0.00045558682918454244
Toy (no frictions),10,i,ε_ν,0.0002733520975107239
Toy (no frictions),11,i,ε_ν,0.00016401125850643312
Toy (no frictions),12,i,ε_ν,9.840675510385887e-5
Toy (no frictions),13,i,ε_ν,5.904405306231453e-5
Toy (no frictions),14,i,ε_ν,3.542643183738808e-5
Toy (no frictions),15,i,ε_ν,2.1255859102432344e-5
Toy (no frictions),0,rn,ε_ν,-1.295260195396016e-17
Toy (no frictions),1,rn,ε_ν,-1.8883154106370364e-17
Toy (no frictions),2,rn,ε_ν,-2.0219166811017637e-17
Toy (no frictions),3,rn,ε_ν,-1.924291956436692e-17
Toy (no frictions),4,rn,ε_ν,-1.7234887320825224e-17
Toy (no frictions),5,rn,ε_ν,-1.4892240858259197e-17
Toy (no frictions),6,rn,ε_ν,-1.257639128756677e-17
Toy (no frictions),7,rn,ε_ν,-1.0458672190629063e-17
Toy (no frictions),8,rn,ε_ν,-8.60547324884864e-18
Toy (no frictions),9,rn,ε_ν,-7.027499896886147e-18
Toy (no frictions),10,rn,ε_ν,-5.707872696193259e-18
Toy (no frictions),11,rn,ε_ν,-4.6178218241652125e-18
Toy (no frictions),12,rn,ε_ν,-3.725171659658533e-18
Toy (no frictions),13,rn,ε_ν,-2.998685847922645e-18
Toy (no frictions),14,rn,ε_ν,-2.4100777904556072e-18
Toy (no frictions),15,rn,ε_ν,-1.934739699634981e-18
Toy (no frictions),0,ygap,ε_ν,-0.1452074391988555
Toy (no frictions),1,ygap,ε_ν,-0.08712446351931329
Toy (no frictions),2,ygap,ε_ν,-0.05227467811158798
Toy (no frictions),3,ygap,ε_ν,-0.031364806866952796
Toy (no frictions),4,ygap,ε_ν,-0.018818884120171683
Toy (no frictions),5,ygap,ε_ν,-0.011291330472103015
Toy (no frictions),6,ygap,ε_ν,-0.006774798283261813
Toy (no frictions),7,ygap,ε_ν,-0.00406487896995709
Toy (no frictions),8,ygap,ε_ν,-0.002438927381974257
Toy (no frictions),9,ygap,ε_ν,-0.0014633564291845562
Toy (no frictions),10,ygap,ε_ν,-0.0008780138575107353
Toy (no frictions),11,ygap,ε_ν,-0.0005268083145064425
Toy (no frictions),12,ygap,ε_ν,-0.00031608498870386656
Toy (no frictions),13,ygap,ε_ν,-0.00018965099322232077
Toy (no frictions),14,ygap,ε_ν,-0.00011379059593339313
Toy (no frictions),15,ygap,ε_ν,-6.827435756003642e-5
Toy (no frictions),0,ν,ε_ν,0.3
Toy (no frictions),1,ν,ε_ν,0.18
Toy (no frictions),2,ν,ε_ν,0.108
Toy (no frictions),3,ν,ε_ν,0.0648
Toy (no frictions),4,ν,ε_ν,0.03888
Toy (no frictions),5,ν,ε_ν,0.023327999999999998
Toy (no frictions),6,ν,ε_ν,0.013996799999999998
Toy (no frictions),7,ν,ε_ν,0.008398079999999999
Toy (no frictions),8,ν,ε_ν,0.005038847999999999
Toy (no frictions),9,ν,ε_ν,0.0030233087999999996
Toy (no frictions),10,ν,ε_ν,0.0018139852799999997
Toy (no frictions),11,ν,ε_ν,0.0010883911679999997
Toy (no frictions),12,ν,ε_ν,0.0006530347007999998
Toy (no frictions),13,ν,ε_ν,0.00039182082047999983
Toy (no frictions),14,ν,ε_ν,0.0002350924922879999
Toy (no frictions),15,ν,ε_ν,0.00014105549537279992
Toy (no frictions),0,π,ε_ν,-0.021459227467811127
Toy (no frictions),1,π,ε_ν,-0.012875536480686674
Toy (no frictions),2,π,ε_ν,-0.007725321888412007
Toy (no frictions),3,π,ε_ν,-0.004635193133047207
Toy (no frictions),4,π,ε_ν,-0.002781115879828326
Toy (no frictions),5,π,ε_ν,-0.001668669527896997
Toy (no frictions),6,π,ε_ν,-0.0010012017167381993
Toy (no frictions),7,π,ε_ν,-0.0006007210300429205
Toy (no frictions),8,π,ε_ν,-0.000360432618025753
Toy (no frictions),9,π,ε_ν,-0.00021625957081545242
Toy (no frictions),10,π,ε_ν,-0.00012975574248927192
Toy (no frictions),11,π,ε_ν,-7.785344549356354e-5
Toy (no frictions),12,π,ε_ν,-4.6712067296138425e-5
Toy (no frictions),13,π,ε_ν,-2.8027240377683295e-5
