period,variable,shock,value
0,attack,ε_rn,0.0
1,attack,ε_rn,0.0
2,attack,ε_rn,0.0
3,attack,ε_rn,0.0
4,attack,ε_rn,0.0
5,attack,ε_rn,0.0
6,attack,ε_rn,0.0
7,attack,ε_rn,0.0
8,attack,ε_rn,0.0
9,attack,ε_rn,0.0
10,attack,ε_rn,0.0
11,attack,ε_rn,0.0
12,attack,ε_rn,0.0
13,attack,ε_rn,0.0
14,attack,ε_rn,0.0
15,attack,ε_rn,0.0
0,i,ε_rn,0.4136460554371002
1,i,ε_rn,0.33091684434968016
2,i,ε_rn,0.2647334754797442
3,i,ε_rn,0.21178678038379542
4,i,ε_rn,0.1694294243070364
5,i,ε_rn,0.13554353944562914
6,i,ε_rn,0.10843483155650335
7,i,ε_rn,0.08674786524520271
8,i,ε_rn,0.0693982921961622
9,i,ε_rn,0.05551863375692978
10,i,ε_rn,0.04441490700554384
11,i,ε_rn,0.035531925604435084
12,i,ε_rn,0.02842554048354808
13,i,ε_rn,0.022740432386838472
14,i,ε_rn,0.018192345909470786
15,i,ε_rn,0.014553876727576631
0,rn,ε_rn,0.4
1,rn,ε_rn,0.3200000000000001
2,rn,ε_rn,0.25600000000000017
3,rn,ε_rn,0.2048000000000002
4,rn,ε_rn,0.1638400000000002
5,rn,ε_rn,0.13107200000000022
6,rn,ε_rn,0.1048576000000002
7,rn,ε_rn,0.0838860800000002
8,rn,ε_rn,0.06710886400000018
9,rn,ε_rn,0.05368709120000017
10,rn,ε_rn,0.04294967296000015
11,rn,ε_rn,0.03435973836800013
12,rn,ε_rn,0.027487790694400115
13,rn,ε_rn,0.0219902325555201
14,rn,ε_rn,0.017592186044416085
15,rn,ε_rn,0.014073748835532873
0,ygap,ε_rn,0.44349680170575745
1,ygap,ε_rn,0.3547974413646062
2,ygap,ε_rn,0.283837953091685
3,ygap,ε_rn,0.2270703624733481
4,ygap,ε_rn,0.18165628997867855
5,ygap,ε_rn,0.1453250319829429
6,ygap,ε_rn,0.11626002558635434
7,ygap,ε_rn,0.0930080204690835
8,ygap,ε_rn,0.07440641637526683
9,ygap,ε_rn,0.05952513310021349
10,ygap,ε_rn,0.04762010648017081
11,ygap,ε_rn,0.03809608518413666
12,ygap,ε_rn,0.03047686814730934
13,ygap,ε_rn,0.02438149451784748
14,ygap,ε_rn,0.019505195614277993
15,ygap,ε_rn,0.015604156491422397
0,ν,ε_rn,0.0
1,ν,ε_rn,0.0
2,ν,ε_rn,0.0
3,ν,ε_rn,0.0
4,ν,ε_rn,0.0
5,ν,ε_rn,0.0
6,ν,ε_rn,0.0
7,ν,ε_rn,0.0
8,ν,ε_rn,0.0
9,ν,ε_rn,0.0
10,ν,ε_rn,0.0
11,ν,ε_rn,0.0
12,ν,ε_rn,0.0
13,ν,ε_rn,0.0
14,ν,ε_rn,0.0
15,ν,ε_rn,0.0
0,π,ε_rn,0.1279317697228143
1,π,ε_rn,0.1023454157782514
2,π,ε_rn,0.08187633262260115
3,π,ε_rn,0.06550106609808094
4,π,ε_rn,0.05240085287846477
5,π,ε_rn,0.04192068230277183
6,π,ε_rn,0.03353654584221748
7,π,ε_rn,0.026829236673773987
8,π,ε_rn,0.021463389339019198
9,π,ε_rn,0.017170711471215367
10,π,ε_rn,0.013736569176972298
11,π,ε_rn,0.010989255341577842
12,π,ε_rn,0.008791404273262277
13,π,ε_rn,0.007033123418609824
14,π,ε_rn,0.005626498734887861
15,π,ε_rn,0.0045011989879102906
0,attack,ε_ν,0.0
1,attack,ε_ν,0.0
2,attack,ε_ν,0.0
3,attack,ε_ν,0.0
4,attack,ε_ν,0.0
5,attack,ε_ν,0.0
6,attack,ε_ν,0.0
7,attack,ε_ν,0.0
8,attack,ε_ν,0.0
9,attack,ε_ν,0.0
10,attack,ε_ν,0.0
11,attack,ε_ν,0.0
12,attack,ε_ν,0.0
13,attack,ε_ν,0.0
14,attack,ε_ν,0.0
15,attack,ε_ν,0.0
