κ,regime,K_val,attack_on,var_pi,var_ygap,total
0.06,naive,1.0,false,1.219870588055496,0.2923548511830561,1.366048013647024
0.06,naive,1.0,true,4.439589257112836,0.6552154845339051,4.767196999379788
0.06,optimal,0.05,false,2.206987156884112,0.5546603032723812,2.484317308520303
0.06,optimal,0.05,true,2.7430014986852056,0.579973517270883,3.032988257320647
0.15,naive,1.0,false,2.8571879802122155,0.19209971448479618,2.9532378374546138
0.15,naive,1.0,true,9.394884527387191,0.3936224202624259,9.591695737518403
0.15,optimal,0.025,false,4.467575650483088,0.3082098722304942,4.621680586598335
0.15,optimal,0.025,true,4.7015173595617386,0.31077607147950614,4.856905395301491
0.2,naive,1.0,false,3.5475045143315023,0.16405271899621665,3.6295308738296104
0.2,naive,1.0,true,11.282112728266856,0.3275795568733407,11.445902506703527
0.2,optimal,0.025,false,5.164972418609685,0.24657427954535208,5.288259558382362
0.2,optimal,0.025,true,5.409989195641105,0.2484195419475766,5.534198966614893
