κ,K_gain,L_no_attack,L_attack
0.06,0.05,2.484317308520303,3.032988257320647
0.06,0.1,2.0604115136733827,3.3113492728071363
0.06,0.15,1.8315725077384533,3.6156062130212723
0.06,0.2,1.6941718698500132,3.860801821135021
0.06,0.25,1.6054439636484703,4.048710710786424
0.06,0.3,1.5450463291547143,4.192518422567132
0.06,0.35,1.5022622463800943,4.303885666952559
0.06,0.4,1.4709964879113764,4.3914564840408294
0.06,0.45,1.4475699415685725,4.46139050223484
0.06,0.5,1.4296539757081024,4.518063426892649
0.06,0.55,1.4157165493318096,4.564612526915846
0.06,0.6,1.4047167505115188,4.603317796176567
0.06,0.65,1.3959278790076053,4.635860776799523
0.06,0.7,1.3888306686043579,4.663499885114093
0.06,0.75,1.3830465377926324,4.687190111568066
0.06,0.8,1.3782945794735875,4.707665731207572
0.06,0.85,1.3743631056218435,4.725498234837296
0.06,0.9,1.371090379402301,4.741137470483514
0.06,0.95,1.3683512973293295,4.754941260180653
0.06,1.0,1.366048013647024,4.767196999379788
0.1,0.05,3.408253406150948,4.058490668855061
0.1,0.1,2.960635043940318,4.538749227516959
0.1,0.15,2.70237152894856,5.048780659823565
0.1,0.2,2.5408055683577073,5.474155280506568
0.1,0.25,2.433764156472094,5.811540053254316
0.1,0.3,2.359757859335983,6.077360770688532
0.1,0.35,2.306885634920036,6.288234361729956
0.1,0.4,2.2681213957591315,6.457404978081965
0.1,0.45,2.2391018522056907,6.594800323216167
0.1,0.5,2.2170039676990405,6.707750682487033
0.1,0.55,2.199938351051337,6.801676406954363
0.1,0.6,2.18660403661406,6.880617978361197
0.1,0.65,2.1760833156426482,6.947619552480151
0.1,0.7,2.1677152284530896,7.005001131399164
0.1,0.75,2.1610150507654304,7.054551261122281
0.1,0.8,2.155621624271936,7.097664182346478
0.1,0.85,2.1512620621524787,7.135438301960769
0.1,0.9,2.1477275893763372,7.168747620575664
0.1,0.95,2.144856689205057,7.198294103118111
0.1,1.0,2.1425231457333633,7.2246464918043065
0.15,0.05,4.2820788809161625,5.0024350108644535
0.15,0.1,3.8375893215639127,5.65542432603883
0.15,0.15,3.569163260132751,6.3480837450829055
0.15,0.2,3.395906805138346,6.941287180236496
0.15,0.25,3.2785909735140515,7.424014765910901
0.15,0.3,3.1962449530493404,7.812775360560295
0.15,0.35,3.13681496248258,8.126870600473262
0.15,0.4,3.0929717551697675,8.382724000081954
0.15,0.45,3.0600540614805936,8.593194673081523
0.15,0.5,3.0349866311747316,8.76809430225244
0.15,0.55,3.0156777686895517,8.91487074193409
0.15,0.6,3.000667707084167,9.03919713792127
0.15,0.65,2.9889150846981356,9.14542629230715
0.15,0.7,2.9796628189074656,9.236927672633977
0.15,0.75,2.972351353542407,9.316334184392051
0.15,0.8,2.9665610984011535,9.38572262655305
0.15,0.85,2.9619733721118346,9.446746204340519
0.15,0.9,2.958343369131573,9.50073250940937
0.15,0.95,2.955481115374447,9.548756561807242
0.15,1.0,2.9532378374546138,9.591695737518403
0.2,0.05,4.967166340222596,5.731176075562139
0.2,0.1,4.535929175239351,6.5079653220663
0.2,0.15,4.268271273219815,7.333713647976238
0.2,0.2,4.092037202947035,8.052722896171732
0.2,0.25,3.9709383934637423,8.64743834567833
0.2,0.3,3.8850100396091976,9.133237452549714
0.2,0.35,3.8225067954420995,9.5304966465386
0.2,0.4,3.776148842251572,9.857408246986845
0.2,0.45,3.7412314553568873,10.12866154427224
0.2,0.5,3.714608157671661,10.355725338358411
0.2,0.55,3.6941136824397174,10.547466874059108
0.2,0.6,3.67822162061063,10.710744260024889
0.2,0.65,3.6658335232375143,10.850888037058471
0.2,0.7,3.6561447319544724,10.972070841743202
0.2,0.75,3.6485566095313224,11.077585055012799
0.2,0.8,3.6426177083574647,11.170049967307277
0.2,0.85,3.6379834812369487,11.251566460848597
0.2,0.9,3.6343881610460853,11.323833014851726
0.2,0.95,3.631624798414508,11.38823325492287
0.2,1.0,3.6295308738296104,11.445902506703527
