κ,λ,K_opt,p_crossover,L_on_naive,L_on_opt
0.06,0.1,0.025,0.44272726387404937,4.505110805566226,2.795822100045382
0.06,0.25,0.025,0.45002975289873,4.603393128246312,2.8872088618869842
0.06,0.5,0.05,0.39203432257654663,4.767196999379788,3.032988257320647
0.06,1.0,0.05,0.4135444927157887,5.09480474164674,3.3229750159560885
0.15,0.1,0.025,0.2564972066263378,9.434246769413434,4.732594966709689
0.15,0.25,0.025,0.25803364555133546,9.493290132452797,4.779211377431615
0.15,0.5,0.025,0.26056255103298,9.591695737518403,4.856905395301491
0.15,1.0,0.025,0.26550430067046893,9.788506947649617,5.012293431041245
0.2,0.1,0.025,0.21659634043367146,11.31487068395419,5.434831149835862
0.2,0.25,0.025,0.21754259239289675,11.364007617485191,5.472094081127999
0.2,0.5,0.025,0.2191062062683384,11.445902506703527,5.534198966614893
0.2,1.0,0.025,0.22218387215786722,11.609692285140197,5.658408737588681
